dai,rong,chin,loai,loai1
574,558,3.5,2,1
572,556,4,2,1
571,555,4.1,2,1
569,555,4.2,2,1
565,555,4.3,2,1
560,555,4.4,2,1
563,553,4.4,2,1
569,554,4.3,2,1
565,558,4.3,2,1
566,556,4.2,2,1
568,559,4,2,1
569,560,3.6,2,1
572,560,3.9,2,1
576,560,3.8,2,1
582,559,3.8,2,1
587,560,3.8,2,1
591,569,3.7,2,1
595,569,3.7,2,1
568,567,3.7,2,1
600,564,3.6,2,1
606,569,3.3,2,1
607,562,3.5,2,1
611,564,3.5,2,1
613,564,3.7,2,1
618,565,3.5,2,1
630,567,3.6,2,1
636,560,3.8,2,1
636,557,4.1,2,1
638,553,4.3,2,1
565,550,4.5,2,1
640,549,4.5,2,1
643,548,4.5,2,1
644,546,4.5,2,1
644,544,4.5,2,1
642,542,4.4,2,1
639,567,3.4,2,1
637,541,4.4,2,1
632,539,4.4,2,1
627,537,4.4,2,1
623,535,4.4,2,1
571,534,4.3,2,1
618,532,4.3,2,1
615,530,4.4,2,1
607,529,4.5,2,1
601,586,4.1,2,1
596,588,4,2,1
590,566,5.5,2,1
584,588,3.9,2,1
582,589,3.8,2,1
578,590,3.8,2,1
577,591,3.8,2,1
577,592,3.9,2,1
582,592,4,2,1
573,594,4.1,2,1
576,595,4.2,2,1
588,596,4.4,2,1
590,597,4.5,2,1
597,565,5.3,2,1
602,597,4.7,2,1
611,597,4.8,2,1
621,598,4.8,2,1
622,598,4.8,2,1
622,598,4.7,2,1
616,598,4.6,2,1
576,598,4.6,2,1
473,528,8.7,2,2
472,528,8.8,2,2
472,566,9.2,2,2
471,527,8.8,2,2
468,528,8.8,2,2
471,529,8.8,2,2
471,529,8.8,2,2
455,529,8.9,2,2
469,529,8.9,2,2
469,530,9.1,2,2
470,530,9.2,2,2
447,531,9.2,2,2
448,530,9.2,2,2
429,564,9.2,2,2
422,530,9.3,2,2
415,528,9.4,2,2
408,529,9.4,2,2
395,534,9.5,2,2
397,537,9.5,2,2
400,541,9.5,2,2
464,543,9.5,2,2
405,545,9.5,2,2
409,546,9.5,2,2
412,548,9.5,2,2
412,561,9.1,2,2
413,550,9.5,2,2
413,551,9.5,2,2
409,552,9.4,2,2
406,553,9.4,2,2
578,554,9.4,2,2
574,555,9.5,2,2
572,556,9.5,2,2
574,555,9.5,2,2
572,556,9.5,2,2
569,556,9.5,2,2
574,558,9,2,2
572,556,9.5,2,2
571,555,9.5,2,2
569,555,9.5,2,2
565,555,9.5,2,2
560,555,9.5,2,2
563,553,9.5,2,2
569,554,9.4,2,2
565,558,9.4,2,2
566,556,9.4,2,2
568,559,9.4,2,2
569,560,8.9,2,2
572,560,9.4,2,2
576,560,9.4,2,2
582,559,9.3,2,2
587,560,9.4,2,2
591,569,9.4,2,2
595,569,9.3,2,2
568,567,9.3,2,2
600,564,9.3,2,2
606,569,9.3,2,2
607,562,9.3,2,2
611,564,9.3,2,2
613,564,8.9,2,2
618,565,9.2,2,2
630,567,9.2,2,2
636,560,8.9,2,2
636,557,9,2,2
638,553,9,2,2
565,550,9,2,2
640,549,9,2,2
643,548,9,2,2
644,546,8.9,2,2
644,544,8.8,2,2
642,542,8.8,2,2
639,567,9.3,2,2
637,541,8.8,2,2
632,539,8.7,2,2
627,537,8.7,2,2
623,535,8.7,2,2
571,534,8.7,2,2
618,532,8.7,2,2
615,530,8.6,2,2
607,529,8.7,2,2
601,586,9.6,2,2
596,588,9.6,2,2
590,566,9.2,2,2
584,588,9.6,2,2
582,589,9.6,2,2
578,590,9.6,2,2
577,591,9.5,2,2
577,592,9.6,2,2
582,592,9.6,2,2
573,594,9.6,2,2
576,595,9.6,2,2
588,596,9.6,2,2
590,597,9.6,2,2
597,565,9.2,2,2
602,597,9.7,2,2
611,597,9.6,2,2
621,598,9.6,2,2
622,598,9.7,2,2
622,598,9.7,2,2
616,598,9.7,2,2
576,598,9.7,2,2
